portNumber,portName,regionNumber,regionName,countryCode,countryName,latitudeDegrees,latitudeMinutes,latitudeHemisphere,longitudeDegrees,longitudeMinutes,longitudeHemisphere,publicationNumber,chartNumber,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselCode,goodHoldingGround,turningArea,firstPortOfEntry,usRep,etaMessage,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtDerattCert,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,
17060,ABERDEEN,16000,UNITED STATES W COAST,US,United States,46,59,N,123,49,W,CP07,18502,S,RN,E,N,N,N,Y,Y,L,,K,L,8,,,,Y,,,Y,,,Y,,,Y,,,Y,Y,Y,Y,Y,Y,,,,,,Y,Y,,,Y,Y,,,,Y,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,C,,M,
20140,ADAK NAVAL AIR STATION,20095,ALEUTIAN ISLANDS,US,United States,51,52,N,176,38,W,CP09,16471,S,CB,F,N,Y,N,Y,N,A,J,J,J,4,L,,Y,,,Y,,,,Y,,,Y,,,Y,,Y,Y,Y,,Y,Y,,,,Y,Y,,,,,,,,,,N,N,N,Y,Y,Y,Y,Y,Y,N,N,,,,
56310,AHUKINI LANDING,56050,HAWAIIAN ISLANDS,US,United States,22,0,N,159,20,W,CP07,19384,V,CB,F,N,Y,N,,,K,K,L,,1,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,
20097,AKUTAN HARBOR,20095,ALEUTIAN ISLANDS,US,United States,54,8,N,165,48,W,CP09,16532,V,CN,G,N,N,N,Y,,A,B,J,,2,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4420,ALABASTER,4300,US LAKE HURON,US,United States,44,11,N,83,33,W,CP06,14863,V,OR,P,N,N,Y,Y,Y,N,L,M,,,M,Y,Y,Y,N,N,Y,,,,N,N,Y,Y,,,,,,,,Y,,,,,,,,N,,,,,,,,,,,,,Y,Y,,Y,Y,Y,C,,,
16330,ALAMEDA,16000,UNITED STATES W COAST,US,United States,37,47,N,122,16,W,CP07,18650,S,CN,E,N,N,N,Y,Y,,,L,,5,,,,,N,,Y,Y,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,,Y,Y,Y,,,Y,,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,A,M,M,
7720,ALBANY,6585,UNITED STATES E COAST,US,United States,42,39,N,73,45,W,CP02,12348,M,RN,G,Y,N,N,Y,Y,K,J,L,L,5,L,Y,Y,Y,Y,,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,N,Y,,,Y,,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,C,,,
20170,ALCAN HARBOR,20095,ALEUTIAN ISLANDS,US,United States,52,44,N,174,4,E,CP09,16436,V,CN,F,N,N,N,Y,,,,O,,2,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8240,ALEXANDRIA,6585,UNITED STATES E COAST,US,United States,38,48,N,77,2,W,CP03,12289,S,RN,E,N,N,N,N,Y,M,N,N,,3,M,,,N,N,,Y,,,,N,N,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,,,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,C,,S,
2790,ALEXANDRIA BAY,2750,US ST LAWRENCE R,US,United States,44,20,N,75,55,W,CP06,14772,V,RN,E,N,N,N,N,N,O,O,O,,,M,,,Y,,N,Y,,,,N,N,Y,Y,,Y,,,,,,Y,,,,,N,,,N,,,,,Y,,,,,,,,Y,Y,Y,Y,,,,,,
4920,ALGOMA,4570,US LAKE MICHIGAN,US,United States,44,36,N,87,26,W,CP06,14910,V,RN,F,N,N,Y,Y,Y,P,L,P,,,M,N,N,N,N,N,Y,N,,,N,N,Y,Y,,Y,,Y,Y,,,Y,,,,,Y,,,N,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,C,,S,
4320,ALGONAC,4300,US LAKE HURON,US,United States,42,37,N,82,31,W,CP06,14852,V,RN,E,N,N,Y,Y,Y,M,L,O,,,M,Y,N,Y,N,N,Y,,,,N,Y,Y,Y,,,,,,Y,,Y,,,,,,,,N,,,,,,,Y,,,,,,Y,,Y,Y,Y,Y,C,,S,
4470,ALPENA,4300,US LAKE HURON,US,United States,45,4,N,83,25,W,CP06,14864,S,CN,G,N,N,Y,Y,Y,M,H,M,,,M,Y,N,Y,N,N,Y,,,,N,N,Y,Y,,Y,Y,Y,Y,Y,,Y,,,,,Y,,,N,,,,,,,,,Y,,,,Y,Y,,Y,Y,Y,C,,,
18040,ANACORTES,16000,UNITED STATES W COAST,US,United States,48,31,N,122,37,W,CP07,18427,S,CN,E,N,N,N,,,H,F,J,H,5,L,,,Y,,Y,Y,,,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,Y,,Y,,Y,,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C,,M,
19800,ANCHORAGE,19080,ALASKA,US,United States,61,13,N,149,54,W,CP09,16665,S,CN,F,Y,N,N,Y,,M,E,K,K,15,L,Y,Y,Y,,Y,,Y,,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,N,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,C,,,
8225,ANNAPOLIS,6585,UNITED STATES E COAST,US,United States,38,59,N,76,29,W,CP03,12283,V,RN,E,N,N,N,Y,Y,N,K,O,,1,M,Y,,Y,Y,Y,Y,,,,,,Y,,,Y,,,,Y,Y,Y,,,,,Y,,,N,,,,,Y,,,,Y,,,,Y,Y,,Y,Y,Y,C,,S,
16515,ANTIOCH,16000,UNITED STATES W COAST,US,United States,38,1,N,121,48,W,CP07,18659,V,RN,E,N,N,N,,Y,,K,K,,4,,,,,N,,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,B,,M,
8730,APALACHICOLA,8650,US GULF COAST,US,United States,29,43,N,84,59,W,CP05,11401,V,RN,N,N,N,N,Y,,P,P,Q,,1,M,Y,Y,N,,,N,Y,,,,,Y,,,Y,,Y,Y,Y,Y,Y,,,,,Y,,,Y,N,,,,,,N,,Y,,,Y,Y,Y,Y,Y,Y,Y,C,,S,
